	0	1	2	3	4	5
414	2269	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2616942669844596	9.22908745134414e-05
414	603967	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2484366345267782	0.002027445759802
414	300620	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2332119230413498	0.0042055613961333
414	600507	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2072380628424565	0.0096714495863163
414	600965	type3	target_close2	amount_normalize20_rolling_96_mean	-0.233329289495894	0.0030771575358176
414	2827	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2558473515901261	0.0006323522585378
414	603030	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2194863619903812	0.0029904727535916
414	600720	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2654152714048998	0.0007807513106234
414	603389	type3	target_close2	amount_normalize20_rolling_96_mean	-0.223514807438495	0.005179209301696
414	2301	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2382782992621589	0.0020562335605547
414	2521	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2009549740558333	0.006831237595772
414	605399	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2497702053114185	0.00262596833509
414	903	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2235510893895246	0.0038973160726924
414	600178	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2088663719346988	0.0108470776369225
414	300097	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2525405010017325	0.0010287529312794
414	3037	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2374320006419244	0.0011371310859469
414	601155	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2786401482322156	0.0017262531072611
414	605499	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2549978477858451	0.0035409494033174
414	300905	type3	target_close2	amount_normalize20_rolling_96_mean	-0.205268874452781	0.0126268077017238
414	900	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2410168391589717	0.0027793037780115
